CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX
DA,Board,DA0001,"ไม้ HDF4mm-เปลือย - - 1200x1880 (4""x6"")",,บริษัท อะโกร ไฟเบอร์ จำกัด,176.27,0,,
DA,Board,DA0002,"ไม้ HDF4mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท อะโกร ไฟเบอร์ จำกัด,229.16,0,,
DA,Board,DA0003,"ไม้ HDF4mm-เปลือย - - 1870x2450 (4""x8"")",,บริษัท อะโกร ไฟเบอร์ จำกัด,352.54,0,,
DA,Board,DA0004,"ไม้ HDF4mm-เปลือย - - 2450x3010 (4""x10"")",,บริษัท อะโกร ไฟเบอร์ จำกัด,567.46,0,,
DA,Board,DA0005,"ไม้ HMR4mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,158.88,0,,
DA,Board,DA0006,"ไม้ HMR6mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,210.28,0,,
DA,Board,DA0007,"ไม้ HMR6mm-เปลือย - - 1020x3000 (3""x10"")",,DAIJAI,  -   ,0,,
DA,Board,DA0008,"ไม้ HMR9mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,294.39,0,,
DA,Board,DA0009,"ไม้ HMR12mm-เปลือย - - 1200x2000 (4""x6.6"")",,DAIJAI,383.18,0,,
DA,Board,DA0010,"ไม้ HMR12mm-เปลือย - - 1200x2400 (4""x8"") MR1",,บริษัท ลานนาไม้อัดไทย จำกัด,383.18,0,,
DA,Board,DA0011,"ไม้ HMR15mm-เปลือย - - 1200x2400 (4""x8"") MR1",,บริษัท ลานนาไม้อัดไทย จำกัด,434.58,0,,
DA,Board,DA0012,"ไม้ HMR18mm-เปลือย - - 1200x2400 (4""x8"") LN70",,บริษัท ลานนาไม้อัดไทย จำกัด,532.37,0,,
DA,Board,DA0013,"ไม้ HMR25mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,813.08,0,,
DA,Board,DA0014,ไม้ HMR18mm-เปลือย - - 36x1200x2400,,DAIJAIผลิต (ไม้เบิ้ล),1065.42,0,,
DA,Board,DA0015,"ไม้ MDF3mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,100.00,0,,
DA,Board,DA0016,"ไม้ MDF4mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,   ,0,,
DA,Board,DA0017,"ไม้ MDF6mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,228.97,0,,
DA,Board,DA0018,"ไม้ MDF12mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,406.54,0,,
DA,Board,DA0019,"ไม้ MDF15mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,369.16,0,,
DA,Board,DA0020,"ไม้ MDF18mm-เปลือย - - 1200x2400 (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,546.73,0,,
DA,Board,DA0021,"ไม้ MDF19mm-เปลือย - - 1200x2400 (4""x8"")",,NO DATA,  -   ,0,,
DA,Board,DA0022,"ไม้อัดยางPW4mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,247.66,0,,
DA,Board,DA0023,"ไม้อัดยางPW6mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,345.80,0,,
DA,Board,DA0024,"ไม้อัดยางPW8mm-เปลือย1200x2400mm (4""x8"")",,NO DATA,  -   ,0,,
DA,Board,DA0025,"ไม้อัดยางPW10mm-เปลือย1200x2400mm (4""x8"")",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,450.00,0,,
DA,Board,DA0026,"ไม้อัดยางPW15mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,658.88,0,,
DA,Board,DA0027,"ไม้อัดยางPW20mm-เปลือย1200x2400mm (4""x8"")",,สุขสวัสดิ์ไม้อัดไทย จำกัด (เชียงใหม่),859.81,0,,
DA,Board,DA0028,"ไม้อัดยางดัดโค้ง4mm-เปลือย1200x2400mm (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,485.98,0,,
